customerID;Churn;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total;Cuentas_Diarias;;
0017-DINOC;No;Male;0.0;No;No;54.0;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);45,2;2460,55;15.066.666.666.666.600;;54,4369469
0017-IUDMW;No;Female;0.0;Yes;Yes;72.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);116,8;8456,75;3.893.333.333.333.330;;
0018-NYROU;No;Female;0.0;Yes;No;5.0;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;68,95;351,5;22.983.333.333.333.300;;
0019-EFAEP;No;Female;0.0;No;No;72.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);101,3;7261,25;33.766.666.666.666.600;;
0019-GFNTW;No;Female;0.0;No;No;56.0;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);45,05;2560,1;15.016.666.666.666.600;;
0020-INWCK;No;Female;0.0;Yes;Yes;71.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);95,75;6849,4;3.191.666.666.666.660;;
0020-JDNXP;No;Female;0.0;Yes;Yes;34.0;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;61,25;1993,2;20.416.666.666.666.600;;
0021-IKXGC;No;Female;1.0;No;No;1.0;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;72,1;72,1;24.033.333.333.333.300;;
0022-TCJCI;Yes;Male;1.0;No;No;45.0;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);62,7;2791,5;20.900.000.000.000.000;;
0023-HGHWL;Yes;Male;1.0;No;No;1.0;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;25,1;25,1;0.8366666666666667;;
0023-UYUPN;No;Female;1.0;Yes;No;50.0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;25,2;1306,3;0.84;;
0023-XUOPT;Yes;Female;0.0;Yes;No;13.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;94,1;1215,6;31.366.666.666.666.600;;
0027-KWYKW;No;Female;0.0;Yes;Yes;23.0;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;83,75;1849,95;27.916.666.666.666.600;;
0030-FNXPP;No;Female;0.0;No;No;3.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,85;57,2;0.6616666666666667;;
0031-PVLZI;Yes;Female;0.0;Yes;Yes;4.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;76,35;0.6783333333333333;;
0032-PGELS;Yes;Female;0.0;Yes;Yes;1.0;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);30,5;30,5;10.166.666.666.666.600;;
0036-IHMOT;No;Female;0.0;Yes;Yes;55.0;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);103,7;5656,75;34.566.666.666.666.600;;
0040-HALCW;No;Male;0.0;Yes;Yes;54.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,4;1090,6;0.6799999999999999;;
0042-JVWOJ;No;Male;0.0;No;No;26.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19,6;471,85;0.6533333333333334;;
0042-RLHYP;No;Female;0.0;Yes;Yes;69.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,7;1396,9;0.6566666666666666;;
0048-LUMLS;No;Male;0.0;Yes;Yes;37.0;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Credit card (automatic);91,2;3247,55;3.04;;
0048-PIHNL;No;Female;0.0;Yes;No;49.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20,45;900,9;0.6816666666666666;;
0052-DCKON;No;Male;0.0;Yes;No;66.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);115,8;7942,15;3.86;;
0052-YNYOT;No;Female;0.0;No;No;67.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;20,55;1343,4;0.685;;
0056-EPFBG;No;Male;0.0;Yes;Yes;20.0;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);39,4;825,4;13.133.333.333.333.300;;
0057-QBUQH;No;Female;0.0;No;Yes;43.0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;25,1;1070,15;0.8366666666666667;;
0058-EVZWM;No;Female;0.0;Yes;No;55.0;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,8;4959,6;2.993.333.333.333.330;;
0060-FUALY;No;Female;0.0;Yes;No;59.0;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;94,75;5597,65;3.158.333.333.333.330;;
0064-SUDOG;No;Female;0.0;Yes;Yes;12.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,3;224,5;0.6766666666666666;;
0064-YIJGF;No;Male;0.0;Yes;Yes;27.0;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,75;1929;2.525;;
0067-DKWBL;Yes;Male;1.0;No;No;2.0;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;49,25;91,1;16.416.666.666.666.600;;
0068-FIGTF;No;Female;0.0;No;No;27.0;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Mailed check;78,2;2078,95;2.606.666.666.666.660;;
0071-NDAFP;No;Male;0.0;Yes;Yes;25.0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,5;630,6;0.85;;
0074-HDKDG;No;Male;0.0;Yes;Yes;25.0;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);61,6;1611;20.533.333.333.333.300;;
0076-LVEPS;No;Male;0.0;No;Yes;29.0;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;45;1242,45;1.5;;
0078-XZMHT;No;Male;0.0;Yes;No;72.0;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);85,15;6316,2;28.383.333.333.333.300;;
0080-EMYVY;No;Female;0.0;No;No;14.0;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);51,45;727,85;1.715;;
0080-OROZO;No;Female;0.0;No;No;35.0;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;99,25;3532;3.308.333.333.333.330;;
0082-LDZUE;No;Male;0.0;No;No;1.0;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;44,3;44,3;14.766.666.666.666.600;;
0082-OQIQY;No;Male;0.0;No;No;29.0;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;94,2;2607,6;3.14;;
0083-PIVIK;No;Male;0.0;No;No;64.0;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;One year;No;Electronic check;81,25;5567,55;27.083.333.333.333.300;;
0089-IIQKO;No;Female;0.0;Yes;Yes;39.0;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,95;3767,4;33.316.666.666.666.600;;
0093-EXYQL;No;Female;1.0;No;No;40.0;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91,55;3673,6;30.516.666.666.666.600;;
0093-XWZFY;Yes;Male;0.0;No;No;40.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);104,5;4036,85;34.833.333.333.333.300;;
0094-OIFMO;Yes;Female;1.0;No;No;11.0;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95;1120,3;31.666.666.666.666.600;;
0096-BXERS;No;Female;0.0;Yes;No;6.0;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;50,35;314,55;16.783.333.333.333.300;;
0096-FCPUF;No;Male;0.0;No;No;30.0;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;64,5;1888,45;2.15;;
0098-BOWSO;No;Male;0.0;No;No;27.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19,4;529,8;0.6466666666666666;;
0100-DUVFC;No;Male;1.0;Yes;No;70.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;104,8;7308,95;3.493.333.333.333.330;;
0103-CSITQ;No;Female;0.0;Yes;No;57.0;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);109,4;6252,7;3.646.666.666.666.660;;
0104-PPXDV;No;Male;0.0;Yes;No;58.0;Yes;No;DSL;No;No;Yes;No;No;No;One year;No;Credit card (automatic);50,3;2878,55;16.766.666.666.666.600;;
0106-GHRQR;No;Male;0.0;No;No;16.0;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);71,4;1212,1;23.800.000.000.000.000;;
0106-UGRDO;No;Female;0.0;Yes;No;69.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;116;8182,85;38.666.666.666.666.600;;
0107-WESLM;Yes;Male;0.0;No;No;1.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19,85;19,85;0.6616666666666667;;
0107-YHINA;Yes;Male;0.0;No;Yes;1.0;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,75;99,75;3.325;;
0111-KLBQG;No;Male;1.0;Yes;Yes;32.0;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;93,95;2861,45;3.131.666.666.666.660;;
0112-QAWRZ;No;Male;0.0;Yes;Yes;16.0;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);90,8;1442,2;30.266.666.666.666.600;;
0112-QWPNC;Yes;Male;0.0;Yes;No;49.0;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;84,35;4059,35;28.116.666.666.666.600;;
0114-IGABW;No;Female;0.0;Yes;No;71.0;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);58,25;4145,9;19.416.666.666.666.600;;
0114-PEGZZ;No;Female;0.0;No;No;33.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;107,55;3645,5;3.585;;
0114-RSRRW;No;Female;0.0;Yes;No;10.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);19,95;187,75;0.6649999999999999;;
0115-TFERT;Yes;Male;0.0;Yes;No;21.0;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;111,2;2317,1;37.066.666.666.666.600;;
0117-LFRMW;Yes;Male;0.0;Yes;Yes;37.0;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);40,2;1448,8;1.34;;
0118-JPNOY;No;Female;1.0;No;No;26.0;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85,8;2193,65;2.86;;
0121-SNYRK;No;Male;0.0;No;No;50.0;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;Yes;Mailed check;35,4;1748,9;1.18;;
0122-OAHPZ;Yes;Female;0.0;No;No;7.0;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73,85;511,25;24.616.666.666.666.600;;
0123-CRBRT;No;Female;0.0;Yes;Yes;61.0;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;88,1;5526,75;29.366.666.666.666.600;;
0125-LZQXK;Yes;Male;0.0;No;No;15.0;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101,35;1553,95;3.378.333.333.333.330;;
0128-MKWSG;No;Female;0.0;No;Yes;26.0;No;No phone service;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;45,8;1147;15.266.666.666.666.600;;
0129-KPTWJ;No;Male;0.0;Yes;No;72.0;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;94,65;6747,35;31.550.000.000.000.000;;
0129-QMPDR;No;Male;0.0;Yes;Yes;44.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);20,5;865,05;0.6833333333333333;;
0130-SXOUN;No;Male;0.0;No;No;66.0;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Credit card (automatic);89,4;5976,9;2.98;;
0133-BMFZO;Yes;Female;0.0;No;No;2.0;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;86,25;181,65;2.875;;
0134-XWXCE;No;Female;1.0;No;No;44.0;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);74,85;3268,05;24.949.999.999.999.900;;
0135-NMXAP;Yes;Female;0.0;No;No;12.0;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,75;1052,4;29.916.666.666.666.600;;
0136-IFMYD;No;Male;1.0;Yes;No;69.0;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;109,95;7634,25;3.665;;
0137-OCGAB;Yes;Female;0.0;No;No;1.0;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;80,2;80,2;26.733.333.333.333.300;;
0137-UDEUO;Yes;Female;0.0;No;No;3.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,85;63,75;0.6616666666666667;;
0139-IVFJG;No;Female;0.0;Yes;No;2.0;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;90,35;190,5;30.116.666.666.666.600;;
0141-YEAYS;No;Female;1.0;No;No;27.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);86,45;2401,05;2.881.666.666.666.660;;
0142-GVYSN;No;Male;0.0;No;No;26.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20,3;511,25;0.6766666666666666;;
0147-ESWWR;No;Female;1.0;Yes;No;39.0;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101,25;3949,15;3.375;;
0148-DCDOS;Yes;Male;0.0;No;No;25.0;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94,7;2362,1;31.566.666.666.666.600;;
0151-ONTOV;Yes;Female;0.0;No;No;1.0;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70,9;70,9;23.633.333.333.333.300;;
0156-FVPTA;Yes;Male;0.0;Yes;No;22.0;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;54,2;1152,7;18.066.666.666.666.600;;
0164-APGRB;No;Female;0.0;No;No;72.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;114,9;8496,7;3.83;;
0164-XAIRP;No;Female;0.0;No;No;24.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19,55;470,2;0.6516666666666667;;
0168-XZKBB;No;Female;0.0;Yes;No;19.0;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;86,85;1564,4;2.895;;
0174-QRVVY;No;Male;0.0;Yes;Yes;71.0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25,35;1847,55;0.8450000000000001;;
0177-PXBAT;No;Male;1.0;Yes;No;33.0;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);109,9;3694,7;36.633.333.333.333.300;;
0178-CIIKR;No;Female;0.0;No;No;3.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,95;58;0.6649999999999999;;
0178-SZBHO;No;Male;0.0;Yes;Yes;47.0;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;87,2;4017,45;29.066.666.666.666.600;;
0181-RITDD;No;Male;0.0;Yes;Yes;62.0;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;108,15;6825,65;3.605;;
0186-CAERR;No;Male;0.0;No;No;71.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);116,3;8309,55;38.766.666.666.666.600;;
0187-QSXOE;No;Male;1.0;Yes;No;7.0;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89;605,45;2.966.666.666.666.660;;
0187-WZNAB;No;Female;0.0;Yes;Yes;27.0;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;74,4;1972,35;2.48;;
0188-GWFLE;No;Male;0.0;No;No;2.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,05;33,7;0.6683333333333333;;
0191-EQUUH;No;Female;0.0;No;Yes;25.0;No;No phone service;DSL;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);35,05;844,45;11.683.333.333.333.300;;
0191-ZHSKZ;No;Male;1.0;No;No;30.0;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74,75;2111,3;24.916.666.666.666.600;;
0193-ESZXP;Yes;Female;1.0;Yes;No;58.0;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);105,5;6205,5;35.166.666.666.666.600;;
0195-IESCP;Yes;Male;0.0;Yes;No;10.0;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,25;855,3;2.841.666.666.666.660;;
0196-JTUQI;No;Female;0.0;No;No;9.0;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);75,2;633,85;2.506.666.666.666.660;;
0196-VULGZ;Yes;Female;1.0;Yes;No;6.0;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,35;474,9;28.116.666.666.666.600;;
0197-PNKNK;No;Female;0.0;Yes;Yes;69.0;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;No;Bank transfer (automatic);84,45;5848,6;2.815;;
0201-MIBOL;No;Female;1.0;No;No;66.0;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);102,4;6471,85;34.133.333.333.333.300;;
0201-OAMXR;Yes;Female;0.0;No;No;70.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);115,55;8127,6;38.516.666.666.666.600;;
0203-HHYIJ;Yes;Male;0.0;No;No;25.0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);25,3;676,35;0.8433333333333334;;
0206-OYVOC;No;Female;0.0;Yes;Yes;46.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,25;864,2;0.6416666666666667;;
0206-TBWLC;No;Female;0.0;Yes;No;54.0;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;114,65;6049,5;38.216.666.666.666.600;;
0207-MDKNV;Yes;Female;0.0;No;No;15.0;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;105,1;1582,75;3.503.333.333.333.330;;
0208-BPQEJ;No;Female;0.0;Yes;Yes;12.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,4;198,1;0.6466666666666666;;
0212-ISBBF;No;Female;0.0;No;No;22.0;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;50,35;1098,85;16.783.333.333.333.300;;
0214-JHPFW;No;Female;0.0;Yes;No;70.0;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);57,8;4039,3;19.266.666.666.666.600;;
0215-BQKGS;No;Male;0.0;No;No;30.0;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);84,3;2438,6;2.81;;
0218-QNVAS;No;Male;0.0;Yes;Yes;71.0;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);100,55;7113,75;33.516.666.666.666.600;;
0219-QAERP;No;Male;0.0;Yes;No;30.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19,8;576,65;0.66;;
0219-YTZUE;Yes;Male;0.0;Yes;Yes;4.0;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);84,8;371,9;28.266.666.666.666.600;;
0220-EBGCE;Yes;Male;0.0;No;No;2.0;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;85,85;167,3;28.616.666.666.666.600;;
0221-NAUXK;No;Male;0.0;No;Yes;10.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19,95;219,5;0.6649999999999999;;
0221-WMXNQ;No;Male;1.0;No;No;4.0;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75,35;273,4;25.116.666.666.666.600;;
0222-CNVPT;No;Male;1.0;No;No;52.0;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);48,8;2555,05;16.266.666.666.666.600;;
0224-HJAPT;Yes;Male;0.0;No;No;5.0;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;47,15;223,15;15.716.666.666.666.600;;
0224-NIJLP;No;Male;0.0;Yes;Yes;8.0;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,15;165,5;0.6716666666666666;;
0224-RLWWD;No;Female;1.0;No;No;2.0;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44,3;89,3;14.766.666.666.666.600;;
0225-ZORZP;No;Male;0.0;No;No;3.0;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;84,3;235,05;2.81;;
0228-MAUWC;No;Male;0.0;No;No;19.0;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;59,55;1144,6;19.849.999.999.999.900;;
0229-LFJAF;No;Male;0.0;No;No;72.0;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);69,65;4908,25;23.216.666.666.666.600;;
0230-UBYPQ;No;Male;1.0;Yes;No;63.0;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);36,1;2298,9;12.033.333.333.333.300;;
0230-WEQUW;No;Male;0.0;Yes;No;66.0;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);56,6;3789,2;18.866.666.666.666.600;;
0231-LXVAP;Yes;Male;0.0;No;No;1.0;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;75,9;75,9;25.300.000.000.000.000;;
